data_id,data_title,category_id,file_path,source_url,collected_at,updated_at,bill_num,proposer,process_status,proposed_at
8624125108,일하는 사람 기본법안,1,preprocessed/bill/data/bills_markdown/2200069.md,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2F4O0V5M3D1S1S8U2Y5Z0R8Y7B7M2&ageFrom=22&ageTo=22,2026-05-27,2024-09-09,2200069.0,김주영의원 등 10인,정보없음,2024-05-31
7978118800,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,1,preprocessed/bill/data/bills_markdown/2200272.md,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2E4M0N6R0P4Y1W1X2W9U4K7I4H6I7&ageFrom=22&ageTo=22,2026-05-27,2024-09-09,2200272.0,소병훈의원 등 10인,대안반영폐기,2024-06-10
6082772483,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,1,preprocessed/bill/data/bills_markdown/2200281.md,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2H4P0P6O1O0N0N8M5M4I5G4H2F2G1&ageFrom=22&ageTo=22,2026-05-27,2024-09-09,2200281.0,한병도의원 등 11인,정보없음,2024-06-11
2779116334,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,1,preprocessed/bill/data/bills_markdown/2200315.md,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2B4A0Y6X0Y4H1F7E3F5N4M3L5J5K0&ageFrom=22&ageTo=22,2026-05-27,2024-09-09,2200315.0,한정애의원 등 13인,대안반영폐기,2024-06-11
4937208977,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,1,preprocessed/bill/data/bills_markdown/2200683.md,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_U2V4R0P6V1W8U1D6B0A0Z5Z8H7G9E7&ageFrom=22&ageTo=22,2026-05-27,2024-09-09,2200683.0,백혜련의원 등 10인,정보없음,2024-06-20
9006838747,고용보험법 일부개정법률안,1,preprocessed/bill/data/bills_markdown/2200691.md,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2X4W0A6Q2S0Z1Z1V2O7Y4E0H9S6J2&ageFrom=22&ageTo=22,2026-05-27,2024-09-09,2200691.0,김정재의원 등 108인,대안반영폐기,2024-06-20
9547733336,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,1,preprocessed/bill/data/bills_markdown/2200700.md,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2T4W0R6E2J0Q1M4D0P1F2B3N6U0L8&ageFrom=22&ageTo=22,2026-05-27,2024-09-09,2200700.0,김정재의원 등 108인,대안반영폐기,2024-06-20
8125908774,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,1,preprocessed/bill/data/bills_markdown/2200707.md,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2I4H0H6G1F9B1Z5A4Z0Y0F2E4F7E8&ageFrom=22&ageTo=22,2026-05-27,2024-09-09,2200707.0,모경종의원 등 10인,대안반영폐기,2024-06-20
2297323888,청년고용촉진 특별법 일부개정법률안,1,preprocessed/bill/data/bills_markdown/2200871.md,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2F4M0L6G2F0D1D5L4I0H1N9M9J0S6&ageFrom=22&ageTo=22,2026-05-27,2024-09-09,2200871.0,박성훈의원 등 11인,정보없음,2024-06-24
5223003907,소상공인 보호 및 지원에 관한 법률 일부개정법률안,1,preprocessed/bill/data/bills_markdown/2200888.md,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2R4N0K6J2S0R1O7W1V2U1T0C1Y0X0&ageFrom=22&ageTo=22,2026-05-27,2024-08-19,2200888.0,오세희의원 등 44인,대안반영폐기,2024-06-25
